worksite,h1bcount,employer_name1,count1,employer_name2,count2,employer_name3,count3,employer_name4,count4,employer_name5,count5,population
TEXAS,68463,INFOSYS LIMITED,2780,TECH MAHINDRA (AMERICAS)INC.,1390,TATA CONSULTANCY SERVICES LIMITED,1278,ACCENTURE LLP,1166,WIPRO LIMITED,1051,27862596
CALIFORNIA,119741,INFOSYS LIMITED,4698,GOOGLE INC.,3979,WIPRO LIMITED,1861,APPLE INC.,1519,TATA CONSULTANCY SERVICES LIMITED,1179,39250017
NEW YORK,58670,CAPGEMINI AMERICA INC,1800,ERNST & YOUNG U.S. LLP,1013,INFOSYS LIMITED,896,TATA CONSULTANCY SERVICES LIMITED,711,JPMORGAN CHASE & CO.,672,19745289
NEW JERSEY,48370,IBM INDIA PRIVATE LIMITED,1532,INFOSYS LIMITED,1323,TATA CONSULTANCY SERVICES LIMITED,1219,CAPGEMINI AMERICA INC,1078,ACCENTURE LLP,824,8944469
ILLINOIS,35184,CAPGEMINI AMERICA INC,2863,INFOSYS LIMITED,1590,TATA CONSULTANCY SERVICES LIMITED,938,IBM INDIA PRIVATE LIMITED,806,ACCENTURE LLP,802,12801539
MASSACHUSETTS,24891,WIPRO LIMITED,626,"THE MATHWORKS, INC.",490,CAPGEMINI AMERICA INC,404,COLLABORATE SOLUTIONS INC,380,AVCO CONSULTING INC,367,6811779
GEORGIA,24857,CAPGEMINI AMERICA INC,2097,INFOSYS LIMITED,912,"TECH MAHINDRA (AMERICAS),INC.",707,IBM INDIA PRIVATE LIMITED,627,TATA CONSULTANCY SERVICES LIMITED,594,10310371
PENNSYLVANIA,23380,,,,,,,,,,,12784227
WASHINGTON,23150,MICROSOFT CORPORATION,4294,AMAZON CORPORATE LLC,2244,INFOSYS LIMITED,1570,"HCL AMERICA, INC.",489,DIVENSI INC.,390,7288000
MICHIGAN,20970,HTC GLOBAL SERVICES INC.,607,UNIVERSITY OF MICHIGAN,549,TATA CONSULTANCY SERVICES LIMITED,424,"ENGINEERING TECHNOLOGY ASSOCIATES, INC.",373,CAPGEMINI AMERICA INC,343,9928300
FLORIDA,20850,INFOSYS LIMITED,881,TATA CONSULTANCY SERVICES LIMITED,637,CAPGEMINI AMERICA INC,618,DELOITTE CONSULTING LLP,516,IBM INDIA PRIVATE LIMITED,254,20612439
VIRGINIA,18901,"CAPITAL ONE SERVICES, LLC",479,"HEXAWARE TECHNOLOGIES, INC.",408,CAPGEMINI AMERICA INC,368,WIPRO LIMITED,345,DELOITTE CONSULTING LLP,"257	",8411808
NORTH CAROLINA,18847,,,,,,,,,,,10146788
OHIO,16344,,,,,,,,,,,11614373
MARYLAND,10738,,,,,,,,,,,6016447
CONNECTICUT,10035,,,,,,,,,,,3576452
MINNESOTA,9937,,,,,,,,,,,5519952
ARIZONA,9734,,,,,,,,,,,6931071
MISSOURI,7973,,,,,,,,,,,6093000
WISCONSIN,7047,,,,,,,,,,,5778708
COLORADO,6502,,,,,,,,,,,5540545
INDIANA,6399,,,,,,,,,,,6633053
TENNESSEE,5652,WIPRO LIMITED,275,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)",219,SYNTEL CONSULTING INC.,203,CAPGEMINI AMERICA INC,160,"SYNECHRON, INC.",159,6651194
OREGON,4718,,,,,,,,,,,4093465
DISTRICT OF COLUMBIA,4134,,,,,,,,,,,681170
DELAWARE,3522,,,,,,,,,,,952065
ARKANSAS,3406,,,,,,,,,,,2988248
SOUTH CAROLINA,2952,,,,,,,,,,,4961119
IOWA,2940,,,,,,,,,,,3134693
UTAH,2887,INFOSYS LIMITED,367,UNIVERSITY OF UTAH,197,"GOLDMAN, SACHS & CO.",135,CAPGEMINI AMERICA INC,84,"IM FLASH TECHNOLOGIES, LLC",79,3051217
KANSAS,2768,,,,,,,,,,,2907289
KENTUCKY,2623,"TECH MAHINDRA (AMERICAS),INC.",186,TATA CONSULTANCY SERVICES LIMITED,181,SYNTEL CONSULTING INC.,137,UNIVERSITY OF KENTUCKY,126,UNIVERSITY OF LOUISVILLE,83,4436974
RHODE ISLAND,2458,,,,,,,,,,,1056426
LOUISIANA,2191,,,,,,,,,,,4681666
ALABAMA,2053,,,,,,,,,,,4863300
OKLAHOMA,2015,,,,,,,,,,,3923561
NEBRASKA,2014,,,,,,,,,,,1907116
NEW HAMPSHIRE,1906,CAPGEMINI AMERICA INC,92,INFOSYS LIMITED,81,AKKEN INC,78,DATASERV INC,76,XCHANGING SOLUTIONS (USA) INC,69,1334795
NEVADA,1396,,,,,,,,,,,2940058
NEW MEXICO,1039,,,,,,,,,,,2081015
IDAHO,887,,,,,,,,,,,1683140
MISSISSIPPI,839,,,,,,,,,,,2988726
MAINE,687,RITE PROS INC,54,Stanley INC.,34,EASTERN MAINE MEDICAL CENTER,33,UNIVERSITY OF MAINE,22,TATA CONSULTANCY SERVICES LIMITED,21,1331479
WEST VIRGINIA,618,,,,,,,,,,,1831102
HAWAII,557,UNIVERSITY OF HAWAII,83,RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII,43,TATA CONSULTANCY SERVICES LIMITED,17,HAWAII MEDICAL SERVICE ASSOCIATION,17,"MINATOISHI PALUMBO ARCHITECTS, INC.",12,1428557
NORTH DAKOTA,544,,,,,,,,,,,757952
VERMONT,366,THE UNIVERSITY OF VERMONT,50,INFOSYS LIMITED,29,"L AND T TECHNOLOGY SERVICES, LTD.",22,THE PRESIDENT AND FELLOWS OF MIDDLEBURY COLLEGE,19,"NTT DATA, INC.",18,624594
SOUTH DAKOTA,348,,,,,,,,,,,865454
ALASKA,199,WIPRO LIMITED,34,UNIVERSITY OF ALASKA,22,"COLUMBIA SUSSEX MANAGEMENT, LLC",5,"AFTER HOURS VETERINARY EMERGENCY CLINIC, INC.",5,POPULUS GROUP LLC,5,741894
MONTANA,191,,,,,,,,,,,1042520
WYOMING,137,UNIVERSITY OF WYOMING,31,MEMORIAL HOSPITAL OF LARAMIE COUNTY,8,MMG MANAGEMENT CONSULTING,8,MEMORIAL HOSPITAL OF SWEETWATER COUNTY,5,"VERA ICONICA DESIGN, INC",4,585501
PUERTO RICO,202,,,,,,,,,,,3411307
